Date,Customer_ID,Customer_Name,Phone,Vehicle_Type,Plate_Number,Service_Type,Complaint,Parts_Replaced,Mechanic_Name,Service_Cost,Payment_Mode,Return_Visit,Rating,Service_Time_Hours,Remarks,Status,Workshop_Location,Referral_Source,Wait_Time_Mins,Spare_Parts_Availability,Parts_Source,Service_Priority,Customer_Type,Fleet_Name,Mechanic_Skill_Level,Parts_Cost,Labour_Cost,Fuel_TopUp?,Discount_Given,Promo_Code_Used,Follow_Up_Date,Has_Insurance_Cover,Mechanic_Notes,Customer_Notes,Request_For_Pickup,Home_Service,Towing_Required,Service_Package,Whatsapp_Followup
2025-05-31,CUS168,Tunde Bayo,08078264989,Honda Accord,LAG948CD,Brake Service,,Shock absorbers,Musa,85966,POS,Yes,,4.3,Changed all filters,Completed,VIP Section,Road Sign,45,orderd,Direct from Benz,Booking,Uber Driver,Logistics Co,speciallist,15000,30000,,0,NONE,2025-07-18,,Needs tire alignment,,No,YES,,gold,No
24/01/2025,CUS169,John Doe,08062092026,Mercedes-Benz GLE,KAN539CD,Oil Change,Suspensn Noise,"Oil filter, Brake pads",,83179,transfer,Yes,3.0,5.7,Recommended further checks,Pending,VIP Section,Mechanik Referal,30,Unavailable,ladipo mkt,Emergncy,Fleet Owner,Govt Convoy,Senior ,25000,30k,YES,5000,LOYALTY10,18/12/2025,YES,Shock absorber weakening,Prefers morning,Yes,No,No,gold,No
30/05/2025,CUS170,John Doe,08096580039,Lexus RX 350,KAN499GH,Engine Repair,Suspenshun Noise,Air filter,Isaac Bobo,78019,Cash,No,4.0,5.7,Changed all filters,Pending,VIP section,Mechanic Referral,45mins,Ordered,Customer Brought,Booking,First Time,Bolt Driver,,25000,30k,no,,N/A,23/10/2025,No,,,No,No,No,One-time,yes
2025-03-12,CUS171,Tunde Bayo,08078338099,Lexus RX 350,ABJ512EF,Engine Repair,suspension noiz,"Oil filter, Brake pads",Musa,41854,Cash,Yes,4.0,1.3,Recommended further checks,Completed,,whatsapp,15,orderd,Ladipo Market,normal,First Time,Bolt Driver,Senior,15000,30k,no,10000,LOYALTY10,20/10/2025,no,Shock absorber weakening,,No,No,No,Gold Maintenance Plan,Yes
2025-04-27,CUS172,John Doe,08060233144,Lexus RX 350,KAN262EF,Engine Repair,suspension noiz,None,Musa,27126,Cash,No,2.0,4.6,Customer waited,In progress,Under tree,Road Sign,45mins,Available,Customer Brought,Booking,first timer,,Specialist,30000,40000,,5k,N/A,15/08/2025,Yes,Shock absorber weakening,,Yes,YES,,Gold Maintenance Plan,No
04-15-2025,CUS173,Tunde Bayo,08076919318,Toyota Corolla,ABJ201GH,Suspension Work,Brake Falure,None,Musa,29561,pos,Yes,1.0,3.4,Customer waited,In progress,,Mechanik Referal,60,Available,ladipo mkt,Normal,first timer,Private,Apprentice,30000,,,5000,LOYALTY10,,No,,Always late,N,no,,One-time,No
01-19-2025,CUS174,Ngozi Nwachukwu,08079644554,Honda Accord,ABJ616CD,Oil Change,,Shock absorbers,,13680,Transfer,Yes,1.0,5.6,Recommended further checks,In progress,,Mechanic Referral,45,availaible,Ladipo Market,normal,Uber Driver,,speciallist,30000,40000,,,Promo10,,Yes,Shock absorber weakening,Always late,N,no,No,One-time,followed up
01-30-2025,CUS175,Ngozi Nwachukwu,08072312899,Mercedes-Benz GLE,KAN690EF,Engine Repair,oilchng,Shock absorbers,Tijani,116472,transfer,No,2.0,4.2,Customer waited,Pending,Under tree,Mechanik Referal,30,Unavailable,Customer Brought,normal,Uber Driver,Bolt Driver,speciallist,30000,,No,0,NONE,2025-11-02,YES,Needs tire alignment,Prefers morning,N,YES,Towing needed,One-time,No
18/05/2025,CUS176,John Doe,08034024774,Mercedes-Benz C300,KAN366GH,Engine Repair,oilchng,"Oil filter, Brake pads",,98502,pos,Yes,5.0,4.2,Changed all filters,Completed,VIP Section,Mechanic Referral,,Unavailable,Customer Brought,Normal,Fleet Owner,Logistics Co,Senior ,15000,30k,,0,NONE,14/08/2025,Yes,,Always late,N,,Towing needed,Gold Maintenance Plan,followed up
07/04/2025,CUS177,Ngozi Nwachukwu,08053194369,Toyota Corolla,ABJ430CD,Battery Replacement,Suspensn Noise,Timing belt,Tijani,108664,transfer,Yes,5.0,3.3,Recommended further checks,Completed,main bay,Mechanik Referal,,Ordered,ladipo mkt,Emergency,Fleet Owner,Govt Convoy,Senior,15000,30k,No,0,N/A,,Yes,Needs tire alignment,no complain,N,no,Yes,,yes
04-28-2025,CUS178,Tunde Bayo,08060181152,Mercedes-Benz C300,ABJ195CD,Brake Service,brake failur,Shock absorbers,,22917,Transfer,No,3.0,1.8,Recommended further checks,In progress,VIP Section,Mechanic Referral,45mins,availaible,Benz supply,Normal,Returning,Logistics Co,Senior,,,No,0,LOYALTY10,2025-11-13,No,,Prefers morning,Y,No,Yes,gold,Yes
31/05/2025,CUS179,Emeka Okafor,08080528150,Honda Accord,LAG111GH,Oil Change,,Shock absorbers,Uche,27657,Cash,Yes,1.0,4.9,Changed all filters,Pending,VIP Section,Instagram,45mins,Available,Customer Brought,Normal,Fleet Owner,Logistics Co,Specialist,15000,20000,YES,5000,N/A,2025-07-30,YES,Needs tire alignment,no complain,Y,No,Towing needed,gold,No
08/03/2025,CUS180,Emeka Okafor,08074867032,Mercedes-Benz GLE,KAN256CD,Suspension Work,suspension noiz,Timing belt,Uche,113970,transfer,No,2.0,3.7,Changed all filters,Completed,,Word of Mouth,,Available,ladipo mkt,Emergncy,first timer,Logistics Co,Senior,,40000,no,10000,LOYALTY10,2025-12-29,No,Needs tire alignment,no complain,Yes,no,,gold,No
26/02/2025,CUS181,Emeka Okafor,08076409861,Lexus RX 350,KAN824GH,Engine Repair,oilchng,Shock absorbers,Isaac Bobo,57750,CASH,No,3.0,3.7,Urgent service,Pending,VIP section,Word of Mouth,45mins,orderd,ladipo mkt,Emergncy,Uber Driver,Govt Convoy,Senior ,,40000,,10000,LOYALTY10,2025-11-18,No,Shock absorber weakening,no complain,Y,,No,Gold Maintenance Plan,yes
05-13-2025,CUS182,Tunde Bayo,08073586743,Mercedes-Benz C300,ABJ685EF,Brake Service,Brake Falure,None,Isaac Bobo,62052,POS,Yes,2.0,2.2,Changed all filters,Completed,main bay,Instagram,30,orderd,Customer Brought,Emergncy,Fleet Owner,,Specialist,30000,30k,Yes,5k,NONE,20/09/2025,,Needs tire alignment,,No,No,,One-time,yes
09/03/2025,CUS183,John Doe,08046015375,Lexus RX 350,ABJ860GH,Oil Change,oilchng,Shock absorbers,Tijani,105578,Transfer,No,2.0,2.7,Customer waited,Completed,,Mechanik Referal,45,orderd,Ladipo Market,Emergncy,Fleet Owner,Bolt Driver,,twenty thousand,20000,,0,Promo10,,Yes,Shock absorber weakening,no complain,No,No,Towing needed,one time,No
2025-01-24,CUS184,Tunde Bayo,08088005556,Honda Accord,ABJ564GH,Suspension Work,engine knoking,Timing belt,Uche,113623,transfer,No,4.0,2.6,,Pending,VIP Section,Word of Mouth,45mins,orderd,ladipo mkt,normal,First Time,Logistics Co,Senior ,,,YES,,N/A,23/07/2025,no,,Prefers morning,Y,no,,one time,No
15/02/2025,CUS185,John Doe,08063814070,Honda Accord,KAN896EF,Battery Replacement,Suspenshun Noise,None,,105172,CASH,Yes,2.0,4.4,,Pending,Main Bay,Road Sign,60,orderd,Benz supply,Emergncy,Fleet Owner,Govt Convoy,Apprentice,15000,35000,No,0,,,No,Shock absorber weakening,,No,No,Towing needed,gold,Yes
25/02/2025,CUS186,John Doe,08095645083,Honda Accord,ABJ345GH,Suspension Work,brake faliure,"Oil filter, Brake pads",Isaac Bobo,17115,transfer,Yes,,3.8,Urgent service,Completed,VIP section,Instagram,60,Unavailable,ladipo mkt,normal,Uber Driver,,Apprentice,15000,35000,No,10000,NONE,07/11/2025,no,,Always late,Yes,,Towing needed,Gold Maintenance Plan,yes
05-08-2025,CUS187,Ngozi Nwachukwu,08088380820,Lexus RX 350,ABJ404CD,Engine Repair,engine knoking,Battery,,81824,Cash,No,,1.9,Changed all filters,Pending,,Word of Mouth,45mins,Available,Direct from Benz,Normal,Fleet Owner,,Senior,40000,30k,,,,2025-11-11,,,,N,Yes,No,gold,
02/03/2025,CUS188,Aisha Bello,08097206259,Mercedes-Benz C300,KAN960CD,Suspension Work,brake failur,"Oil filter, Brake pads",Musa,34699,POS,No,2.0,3.9,Recommended further checks,Pending,Under tree,Mechanic Referral,45mins,Unavailable,Customer Brought,Normal,First Time,Logistics Co,Senior,twenty thousand,20000,no,0,Promo10,2025-08-07,,Needs tire alignment,,,,Yes,,No
2025-02-22,CUS189,Aisha Bello,08014912971,Honda Accord,KAN898EF,Suspension Work,Suspensn Noise,None,Tijani,32710,Cash,Yes,1.0,2.5,Urgent service,In progress,main bay,Mechanik Referal,45,Ordered,Customer Brought,normal,first timer,Govt Convoy,Senior,30000,30k,,5k,,2025-12-05,,,no complain,Y,Yes,,one time,followed up
2025-06-08,CUS190,Ngozi Nwachukwu,08037809859,Honda Accord,LAG775CD,Suspension Work,brake failur,Battery,Uche,14935,Cash,Yes,2.0,4.4,Recommended further checks,Completed,Under tree,Word of Mouth,30,orderd,Customer Brought,Booking,Uber Driver,Logistics Co,Apprentice,30000,35000,No,0,Promo10,2025-11-22,YES,Shock absorber weakening,Always late,No,YES,,one time,yes
05-07-2025,CUS191,John Doe,08039464318,Honda Accord,LAG184CD,Engine Repair,Engin Knok,"Oil filter, Brake pads",Uche,15828,CASH,Yes,2.0,2.7,Changed all filters,Completed,,Mechanik Referal,60,orderd,Customer Brought,Normal,Uber Driver,Logistics Co,Senior,40000,,no,,NONE,04/11/2025,,,no complain,Y,Yes,,one time,Yes
19/05/2025,CUS192,John Doe,08037246265,Mercedes-Benz C300,KAN123GH,Oil Change,suspension noiz,Timing belt,Tijani,44774,Cash,No,3.0,4.6,,In progress,main bay,Road Sign,,Available,Direct from Benz,Normal,first timer,Bolt Driver,Senior,30000,40000,,10000,NONE,2025-11-04,No,,,No,No,Towing needed,gold,yes
08/06/2025,CUS193,Ngozi Nwachukwu,08070677159,Mercedes-Benz GLE,KAN987CD,Suspension Work,Brake Falure,None,Musa,109745,CASH,No,4.0,2.6,Urgent service,Completed,main bay,Word of Mouth,30,Ordered,Customer Brought,normal,first timer,,Specialist,twenty thousand,20000,no,,N/A,26/11/2025,YES,,,No,No,Towing needed,,yes
2025-05-28,CUS194,Emeka Okafor,08041458567,Mercedes-Benz C300,ABJ570GH,Engine Repair,Suspensn Noise,None,,82641,transfer,Yes,3.0,3.0,Changed all filters,Completed,Under tree,Word of Mouth,45,Available,Customer Brought,Emergncy,Uber Driver,,Apprentice,15000,35000,no,,Promo10,,no,,no complain,,no,,gold,Yes
2025-05-11,CUS195,Emeka Okafor,08063136795,Mercedes-Benz GLE,ABJ209CD,Brake Service,Suspensn Noise,Timing belt,,74087,transfer,Yes,2.0,5.9,Changed all filters,Completed,Under tree,Road Sign,,availaible,Ladipo Market,Emergency,Returning,,Specialist,15000,,no,,Promo10,17/12/2025,no,,Prefers morning,N,YES,Towing needed,one time,Yes
01-14-2025,CUS196,Tunde Bayo,08039339153,Honda Accord,LAG368CD,Engine Repair,Oil chang,"Oil filter, Brake pads",Tijani,89505,Cash,No,3.0,2.6,Recommended further checks,Pending,VIP Section,Mechanic Referral,15,Ordered,Customer Brought,normal,First Time,,Senior ,30000,35000,no,0,N/A,2025-09-18,No,Needs tire alignment,Always late,Yes,No,,one time,No
2025-04-19,CUS197,Ngozi Nwachukwu,08051070495,Mercedes-Benz GLE,ABJ179EF,Suspension Work,Oill Change,Air filter,Musa,116277,Transfer,No,4.0,2.8,Recommended further checks,Completed,Under tree,Instagram,45,availaible,ladipo mkt,Booking,First Time,,,40000,,Yes,5000,Promo10,2025-09-07,No,Shock absorber weakening,no complain,N,,,,yes
04-11-2025,CUS198,Ngozi Nwachukwu,08067045601,Mercedes-Benz C300,LAG958CD,Brake Service,Oill Change,"Oil filter, Brake pads",Isaac Bobo,99917,pos,Yes,2.0,1.4,Changed all filters,Completed,VIP section,Word of Mouth,45mins,Available,ladipo mkt,Emergency,first timer,Private,Senior ,40000,40000,No,5k,N/A,2025-10-01,,Shock absorber weakening,,,no,Yes,,No
01-31-2025,CUS199,Tunde Bayo,08060611218,Honda Accord,LAG203EF,Brake Service,Brake Falure,"Oil filter, Brake pads",Tijani,71027,pos,Yes,,1.3,Recommended further checks,In progress,Main Bay,Mechanic Referral,30,Unavailable,Benz supply,Emergency,Returning,,Senior ,15000,30k,,10000,Promo10,,Yes,Shock absorber weakening,,Yes,No,Yes,One-time,yes
03-22-2025,CUS200,Emeka Okafor,08086688035,Lexus RX 350,ABJ523CD,Suspension Work,brake faliure,Shock absorbers,Tijani,77977,pos,No,1.0,2.7,Changed all filters,In progress,Under tree,whatsapp,,orderd,Benz supply,normal,Fleet Owner,,Apprentice,,,Yes,0,Promo10,,No,,no complain,Y,YES,,one time,No
04/01/2025,CUS201,Emeka Okafor,08031100279,Toyota Corolla,LAG740CD,Battery Replacement,Engin Knok,"Oil filter, Brake pads",Uche,75989,CASH,No,1.0,1.3,,Pending,,Mechanic Referral,,availaible,ladipo mkt,Normal,first timer,,Senior,,,,10000,LOYALTY10,18/08/2025,,Shock absorber weakening,no complain,,YES,,one time,Yes
26/01/2025,CUS202,Aisha Bello,08060211839,Mercedes-Benz C300,ABJ803EF,Suspension Work,Oill Change,"Oil filter, Brake pads",,76311,Transfer,No,3.0,5.3,Urgent service,Pending,VIP Section,Word of Mouth,45,Available,Customer Brought,normal,Returning,Bolt Driver,Specialist,30000,20000,YES,10000,NONE,2025-10-22,,,,Yes,Yes,No,Gold Maintenance Plan,Yes
02-17-2025,CUS203,Aisha Bello,08044162336,Mercedes-Benz C300,LAG421GH,Battery Replacement,brake faliure,Battery,Isaac Bobo,84569,CASH,No,2.0,1.2,,In progress,VIP Section,Mechanik Referal,45,orderd,Benz supply,Emergency,First Time,Private,Apprentice,25000,35000,Yes,0,NONE,2025-08-01,Yes,,,No,YES,Towing needed,,No
02/03/2025,CUS204,Aisha Bello,08083893835,Mercedes-Benz GLE,LAG927CD,Oil Change,Brake Falure,"Oil filter, Brake pads",Isaac Bobo,67458,POS,Yes,,2.5,,Completed,VIP Section,Road Sign,60,Available,Direct from Benz,normal,First Time,Govt Convoy,,twenty thousand,35000,No,,NONE,,No,Needs tire alignment,Prefers morning,,No,,One-time,followed up
2025-06-06,CUS205,John Doe,08021376149,Honda Accord,ABJ405CD,Brake Service,engine knoking,Battery,Isaac Bobo,55785,Transfer,Yes,4.0,1.5,,Pending,Under tree,Mechanik Referal,15,availaible,Customer Brought,Normal,Uber Driver,Bolt Driver,Specialist,,,no,0,Promo10,04/08/2025,no,,,Yes,Yes,No,One-time,followed up
19/04/2025,CUS206,Tunde Bayo,08028029509,Mercedes-Benz GLE,ABJ775GH,Suspension Work,Suspensn Noise,None,Uche,99600,CASH,No,,3.2,,Pending,VIP section,Word of Mouth,45,Available,Benz supply,Booking,Returning,Govt Convoy,speciallist,40000,,,,NONE,2025-12-22,Yes,,,Y,,,,No
04/04/2025,CUS207,Emeka Okafor,08021278067,Mercedes-Benz GLE,KAN721CD,Battery Replacement,brake failur,Battery,Musa,37601,transfer,No,5.0,2.5,Changed all filters,Completed,VIP Section,Mechanic Referral,,Ordered,Direct from Benz,Normal,First Time,Private,speciallist,25000,20000,No,5000,,,,Shock absorber weakening,Always late,N,YES,,Gold Maintenance Plan,
2025-04-26,CUS208,John Doe,08049600674,Mercedes-Benz C300,ABJ451EF,Oil Change,engine knoking,Shock absorbers,Isaac Bobo,100874,transfer,Yes,4.0,3.4,Changed all filters,Completed,Under tree,whatsapp,,Ordered,Customer Brought,Booking,First Time,,,twenty thousand,,No,,,2025-07-27,Yes,,no complain,No,Yes,,Gold Maintenance Plan,yes
01-26-2025,CUS209,Ngozi Nwachukwu,08069660493,Honda Accord,LAG728GH,Engine Repair,brake failur,"Oil filter, Brake pads",,106990,Transfer,Yes,5.0,4.8,Changed all filters,In progress,Main Bay,whatsapp,30,Ordered,Benz supply,Normal,Fleet Owner,Govt Convoy,Apprentice,15000,20000,YES,5k,Promo10,2025-11-10,No,Needs tire alignment,,No,YES,,One-time,Yes
02/03/2025,CUS210,Tunde Bayo,08079634938,Toyota Corolla,KAN105CD,Battery Replacement,Engin Knok,None,Isaac Bobo,104639,Cash,Yes,,4.2,Customer waited,Completed,VIP section,Instagram,45,Available,Direct from Benz,Booking,first timer,Govt Convoy,Specialist,twenty thousand,30000,YES,,N/A,27/11/2025,no,,Always late,Yes,Yes,No,gold,
02-07-2025,CUS211,John Doe,08057187591,Mercedes-Benz C300,KAN859EF,Engine Repair,oilchng,Air filter,,102399,pos,No,,2.8,Changed all filters,Pending,,Mechanik Referal,30,Available,Customer Brought,Emergency,Uber Driver,Bolt Driver,Apprentice,25000,35000,,5k,LOYALTY10,03/10/2025,YES,Needs tire alignment,,No,YES,,One-time,yes
2025-02-08,CUS212,John Doe,08040893911,Mercedes-Benz C300,ABJ297GH,Engine Repair,,Shock absorbers,Uche,58784,pos,No,,1.7,Changed all filters,Pending,VIP section,Word of Mouth,45mins,orderd,Benz supply,Emergncy,Returning,Govt Convoy,speciallist,30000,,,0,N/A,,,Needs tire alignment,no complain,N,no,Towing needed,one time,Yes
02-04-2025,CUS213,Ngozi Nwachukwu,08088378083,Mercedes-Benz C300,ABJ648CD,Brake Service,Suspensn Noise,Shock absorbers,,97470,POS,No,,3.2,Recommended further checks,Pending,Main Bay,whatsapp,60,orderd,ladipo mkt,Emergncy,Returning,Bolt Driver,,15000,30k,No,,,,No,,,N,No,Towing needed,one time,No
17/05/2025,CUS214,John Doe,08015522109,Honda Accord,KAN624CD,Brake Service,Brake Falure,Air filter,,77414,POS,Yes,4.0,3.6,Customer waited,Pending,Main Bay,Road Sign,15,availaible,Direct from Benz,Normal,Fleet Owner,,Senior,15000,30000,,5k,NONE,05/10/2025,,Shock absorber weakening,,,no,Towing needed,gold,followed up
05-24-2025,CUS215,John Doe,08072445215,Toyota Corolla,ABJ987EF,Brake Service,suspension noiz,"Oil filter, Brake pads",Isaac Bobo,56840,POS,Yes,5.0,4.7,Urgent service,Completed,Under tree,Word of Mouth,60,orderd,ladipo mkt,normal,Returning,Bolt Driver,speciallist,30000,35000,YES,5k,LOYALTY10,,YES,,,,Yes,Yes,,
01-26-2025,CUS216,Aisha Bello,08078754653,Toyota Corolla,ABJ322CD,Battery Replacement,Oil chang,None,Uche,34203,pos,Yes,1.0,4.7,Changed all filters,In progress,VIP section,Mechanik Referal,,Available,ladipo mkt,Normal,Returning,Bolt Driver,Apprentice,15000,40000,No,0,,03/09/2025,YES,,,N,,Towing needed,One-time,
16/01/2025,CUS217,Ngozi Nwachukwu,08093366096,Honda Accord,LAG241CD,Oil Change,Suspenshun Noise,Air filter,Uche,41037,Cash,No,1.0,1.6,Recommended further checks,Completed,Under tree,whatsapp,,orderd,Direct from Benz,Booking,first timer,,Specialist,30000,20000,YES,5k,N/A,,no,Needs tire alignment,Always late,Y,no,Towing needed,,Yes
11/06/2025,CUS218,Ngozi Nwachukwu,08055147351,Mercedes-Benz GLE,ABJ845GH,Battery Replacement,Oill Change,Air filter,,93548,CASH,No,5.0,4.9,Changed all filters,Pending,,Mechanik Referal,45,orderd,ladipo mkt,Emergncy,Fleet Owner,Private,Apprentice,15000,40000,,0,LOYALTY10,17/12/2025,Yes,,,Y,,,gold,followed up
08/03/2025,CUS219,Ngozi Nwachukwu,08067190488,Lexus RX 350,ABJ374EF,Battery Replacement,Engin Knok,Timing belt,Tijani,80122,CASH,No,,3.3,Urgent service,Completed,Main Bay,Road Sign,15,orderd,ladipo mkt,Normal,first timer,Logistics Co,Senior ,40000,35000,No,,LOYALTY10,2025-12-31,YES,,Always late,Y,no,No,one time,
23/05/2025,CUS220,Tunde Bayo,08070552489,Mercedes-Benz C300,LAG304CD,Suspension Work,Enjin Knockin,Shock absorbers,Isaac Bobo,61687,Cash,No,3.0,2.8,Changed all filters,Pending,VIP section,Instagram,45,Ordered,Customer Brought,Normal,Returning,,Senior ,twenty thousand,30k,No,0,LOYALTY10,2025-10-10,No,,no complain,Y,No,,,yes
16/04/2025,CUS221,Ngozi Nwachukwu,08072753631,Mercedes-Benz GLE,LAG825GH,Oil Change,Suspensn Noise,Timing belt,Musa,17979,Cash,Yes,,2.5,,Pending,main bay,whatsapp,,Unavailable,Benz supply,Booking,Fleet Owner,,Senior ,,35000,No,10000,LOYALTY10,,Yes,,,No,,,Gold Maintenance Plan,Yes
05-28-2025,CUS222,Emeka Okafor,08068049927,Toyota Corolla,KAN401EF,Engine Repair,brake failur,"Oil filter, Brake pads",Uche,114686,Cash,No,,5.0,Urgent service,In progress,main bay,Mechanic Referral,45,Ordered,Customer Brought,normal,first timer,,Apprentice,twenty thousand,35000,,,NONE,08/08/2025,Yes,,,N,Yes,Towing needed,one time,followed up
14/02/2025,CUS223,Tunde Bayo,08064888712,Mercedes-Benz C300,KAN928EF,Engine Repair,brake failur,Timing belt,,119819,pos,No,2.0,3.9,,Pending,Main Bay,Road Sign,30,Ordered,Direct from Benz,normal,Returning,Govt Convoy,,twenty thousand,35000,Yes,5000,Promo10,2025-11-26,no,,Prefers morning,Yes,YES,Yes,one time,Yes
05-05-2025,CUS224,Tunde Bayo,08059326617,Honda Accord,LAG624EF,Suspension Work,,"Oil filter, Brake pads",Tijani,108383,transfer,Yes,5.0,2.0,Urgent service,In progress,,Instagram,30,Ordered,Direct from Benz,normal,Uber Driver,,speciallist,40000,20000,Yes,,Promo10,,No,Needs tire alignment,Prefers morning,Y,YES,Yes,,yes
04-08-2025,CUS225,Emeka Okafor,08076779099,Toyota Corolla,ABJ356CD,Engine Repair,engine knoking,Battery,Musa,113590,transfer,Yes,3.0,2.4,Changed all filters,Pending,,whatsapp,,Ordered,Ladipo Market,Normal,Uber Driver,,Apprentice,,,no,5000,LOYALTY10,2025-12-10,No,,,Yes,,,,
2025-03-15,CUS226,Ngozi Nwachukwu,08052549761,Honda Accord,ABJ803GH,Oil Change,,Air filter,,116641,pos,Yes,4.0,5.5,Changed all filters,Pending,Under tree,Mechanik Referal,60,orderd,ladipo mkt,Normal,Uber Driver,Private,Senior,15000,,No,5000,Promo10,07/09/2025,Yes,Needs tire alignment,,Yes,no,,one time,Yes
13/06/2025,CUS227,Emeka Okafor,08046644052,Lexus RX 350,LAG502CD,Engine Repair,suspension noiz,Timing belt,,110737,POS,No,5.0,2.0,Urgent service,Pending,Main Bay,Word of Mouth,45mins,Available,ladipo mkt,Booking,first timer,Govt Convoy,Senior,40000,,YES,,,,no,Needs tire alignment,Prefers morning,N,no,Yes,Gold Maintenance Plan,yes
06/06/2025,CUS228,John Doe,08061320957,Mercedes-Benz GLE,KAN912GH,Brake Service,Suspenshun Noise,Timing belt,,15300,Transfer,Yes,1.0,2.7,Recommended further checks,Completed,VIP section,Word of Mouth,45,availaible,Customer Brought,Normal,First Time,,speciallist,40000,,no,10000,LOYALTY10,2025-07-21,YES,Shock absorber weakening,Prefers morning,Yes,No,,Gold Maintenance Plan,Yes
21/01/2025,CUS229,Aisha Bello,08013317620,Honda Accord,LAG269CD,Suspension Work,brake failur,Air filter,Musa,36475,POS,Yes,2.0,3.4,Customer waited,Pending,VIP Section,Instagram,30,Unavailable,Benz supply,Emergncy,first timer,,Senior,25000,30k,YES,0,,20/11/2025,,,Prefers morning,Y,no,,,No
03-23-2025,CUS230,Aisha Bello,08034100904,Lexus RX 350,KAN599EF,Oil Change,brake faliure,Air filter,,12272,pos,No,,3.7,,In progress,VIP section,whatsapp,45,availaible,ladipo mkt,Booking,first timer,,Senior ,15000,30000,no,5k,N/A,,Yes,,,Y,no,Yes,one time,Yes
06-04-2025,CUS231,John Doe,08069282426,Toyota Corolla,LAG533GH,Brake Service,Oil chang,Timing belt,,46455,pos,Yes,1.0,2.1,Changed all filters,Completed,VIP section,Road Sign,,Ordered,Ladipo Market,Emergency,Fleet Owner,,speciallist,30000,30000,,0,LOYALTY10,,Yes,,no complain,N,Yes,No,gold,
11/03/2025,CUS232,Aisha Bello,08041378816,Honda Accord,KAN378EF,Suspension Work,,Timing belt,Musa,49597,POS,No,,1.6,,Pending,main bay,Instagram,45,Available,Benz supply,normal,Uber Driver,,speciallist,25000,35000,no,,Promo10,18/09/2025,Yes,,no complain,Yes,,Yes,one time,Yes
14/05/2025,CUS233,John Doe,08045651567,Toyota Corolla,KAN210GH,Engine Repair,brake failur,Shock absorbers,Uche,40970,Transfer,No,,2.1,Customer waited,In progress,,Road Sign,,Ordered,Benz supply,Emergncy,First Time,Govt Convoy,Specialist,40000,35000,YES,5k,N/A,13/09/2025,YES,,Always late,Y,,,,No
2025-02-12,CUS234,John Doe,08096618062,Honda Accord,LAG539CD,Suspension Work,engine knoking,Air filter,,60836,Cash,No,4.0,1.4,Changed all filters,Pending,VIP Section,Word of Mouth,,orderd,Customer Brought,Emergncy,First Time,,Specialist,30000,30000,YES,0,,18/11/2025,YES,Needs tire alignment,Always late,No,YES,No,one time,yes
2025-03-02,CUS235,Aisha Bello,08020185574,Honda Accord,KAN461EF,Engine Repair,Engin Knok,Battery,,94594,POS,Yes,4.0,4.9,,Completed,,Mechanik Referal,45mins,availaible,Direct from Benz,normal,first timer,,Senior ,30000,35000,no,5000,N/A,,No,,,,,Yes,gold,
2025-02-12,CUS236,John Doe,08058196637,Honda Accord,KAN939CD,Brake Service,Engin Knok,"Oil filter, Brake pads",,20749,CASH,No,3.0,4.4,Customer waited,In progress,,Mechanik Referal,45,Unavailable,Direct from Benz,Booking,First Time,Govt Convoy,,25000,30000,,,,,no,,,Y,Yes,Yes,One-time,Yes
2025-01-17,CUS237,Aisha Bello,08021062025,Mercedes-Benz GLE,LAG271CD,Brake Service,,Timing belt,Musa,116780,CASH,Yes,1.0,2.2,Urgent service,Completed,,Instagram,45mins,availaible,ladipo mkt,Emergency,Fleet Owner,Private,speciallist,40000,30k,YES,5000,Promo10,2025-09-19,YES,,Prefers morning,Yes,,No,,yes
2025-01-07,CUS238,Ngozi Nwachukwu,08049529512,Mercedes-Benz C300,KAN359GH,Suspension Work,brake failur,Shock absorbers,Isaac Bobo,85060,transfer,No,4.0,4.2,,Pending,Under tree,Word of Mouth,30,Unavailable,Benz supply,normal,First Time,Bolt Driver,Apprentice,25000,40000,YES,5000,Promo10,30/10/2025,No,Shock absorber weakening,,,,Towing needed,One-time,
2025-01-27,CUS239,Aisha Bello,08077345747,Mercedes-Benz C300,LAG400GH,Suspension Work,Enjin Knockin,None,,114103,POS,Yes,3.0,5.6,Customer waited,Pending,,Mechanik Referal,45,orderd,Benz supply,Emergncy,Returning,Logistics Co,speciallist,40000,,no,5000,,19/06/2025,no,,no complain,N,Yes,,one time,yes
2025-01-22,CUS240,Aisha Bello,08078825641,Mercedes-Benz GLE,KAN643EF,Oil Change,Oill Change,Shock absorbers,Uche,85215,transfer,No,2.0,5.9,Customer waited,Completed,main bay,Word of Mouth,30,Ordered,Direct from Benz,Booking,Returning,Govt Convoy,speciallist,25000,20000,Yes,0,Promo10,26/12/2025,YES,,no complain,,no,,,Yes
04-24-2025,CUS241,Ngozi Nwachukwu,08083370374,Mercedes-Benz C300,LAG130CD,Brake Service,Oill Change,Timing belt,Tijani,52039,pos,No,1.0,3.1,Changed all filters,Pending,VIP section,Mechanik Referal,60,orderd,Customer Brought,Booking,Fleet Owner,Logistics Co,Senior ,25000,20000,YES,5000,NONE,,YES,Shock absorber weakening,,N,YES,Yes,,yes
